,City,Cloudiness,Country Code,Dated,Humidity,Latitude,Temperature,Wind Speed
44,Egvekinot,100,RU,1567310842,77,66.32,8.27,2.33
45,Khatanga,100,RU,1567310842,56,71.98,10.07,2.55
46,Morondava,3,MG,1567310842,91,-20.3,22.57,5.07
47,Marzuq,63,YE,1567310843,45,14.4,25.27,2.03
48,Limon,1,US,1567310843,68,39.26,21.0,5.1
49,Salalah,75,OM,1567310844,83,17.01,27.0,2.6
50,Woodburn,0,AU,1567310844,40,-29.07,23.33,2.6
51,Calbuco,90,CL,1567310844,87,-41.77,6.0,2.6
52,Cape Town,75,ZA,1567310766,93,-33.93,12.78,3.6
53,Bredasdorp,5,ZA,1567310845,71,-34.53,14.44,4.6
54,Upernavik,96,GL,1567310845,65,72.79,6.27,0.44
55,Tallahassee,90,US,1567310704,100,30.44,24.44,3.6
56,Naze,100,NG,1567310846,95,5.43,23.07,1.55
57,Moose Jaw,20,CA,1567310846,82,50.4,16.0,3.6
58,Hithadhoo,19,MV,1567310846,78,-0.6,27.97,6.5
59,Middelburg,99,NL,1567310847,72,51.5,18.33,3.6
60,Solihull,0,GB,1567310847,93,52.41,12.22,1.5
61,Kurilsk,0,RU,1567310848,91,45.23,16.27,5.39
62,Castro,40,CL,1567310848,86,-42.48,4.0,0.5
63,Dikson,100,RU,1567310848,93,73.51,4.97,2.58
64,Tuktoyaktuk,75,CA,1567310848,75,69.44,5.0,4.1
65,Susanville,1,US,1567310849,33,40.42,24.44,4.6
66,Hilo,20,US,1567310849,74,19.71,28.0,3.6
67,Los Llanos de Aridane,40,ES,1567310849,73,28.66,23.0,8.7
68,Port Alfred,0,ZA,1567310850,57,-33.59,16.67,4.02
69,Bubaque,100,GW,1567310850,85,11.28,26.37,7.01
70,Kailua,1,US,1567310851,58,21.39,31.0,6.2
71,East London,0,ZA,1567310610,50,-33.02,13.0,4.6
72,Panara,24,LT,1567310851,93,54.11,15.0,1.0
73,Carnarvon,0,ZA,1567310852,59,-30.97,2.77,0.54
74,Lucea,20,JM,1567310852,83,18.44,28.0,3.1
75,Vila Velha,75,BR,1567310852,74,-3.71,26.0,5.1
76,Richards Bay,11,ZA,1567310853,62,-28.77,18.97,5.79
77,Vardo,75,US,1567310854,60,39.62,22.0,1.5
78,Oranjestad,20,AW,1567310719,79,12.52,29.0,8.2
79,Mahebourg,40,MU,1567310854,73,-20.41,23.33,7.7
80,Bow Island,75,CA,1567310855,49,49.87,21.0,7.2
81,Sept-Iles,20,CA,1567310855,63,50.2,12.22,3.1
82,Cayenne,17,GF,1567310856,94,4.94,25.0,2.26
83,Aginskoye,0,RU,1567310856,45,51.11,20.47,3.6
84,Mataura,11,NZ,1567310856,75,-46.19,12.78,6.26
85,Tahe,0,CN,1567310857,44,52.34,18.07,3.73
86,Madera,1,US,1567310746,25,36.96,33.0,2.6
87,Mokhsogollokh,84,RU,1567310857,48,61.4,17.87,1.44
88,Kenai,90,US,1567310858,82,60.55,15.0,4.6
89,Castanos,79,MX,1567310858,47,26.78,29.47,4.11
90,Warrnambool,96,AU,1567310858,92,-38.38,13.89,2.68
91,Durango,90,MX,1567310859,82,24.02,18.33,1.0
92,Kalaikunda,63,IN,1567310859,71,22.35,29.97,2.03
93,Georgetown,0,GY,1567310859,100,6.8,24.0,1.0
94,Chokurdakh,0,RU,1567310860,44,70.62,9.17,3.87
95,La Asuncion,0,AR,1567310860,50,-26.05,5.47,2.02
96,Iqaluit,90,CA,1567310860,76,63.75,9.0,1.5
97,Provideniya,100,RU,1567310861,88,64.42,8.77,3.62
98,Polczyn-Zdroj,0,PL,1567310861,74,53.76,22.78,6.51
99,Zhigansk,78,RU,1567310862,49,66.77,16.17,1.36
100,Warrington,40,GB,1567310618,87,53.39,13.0,4.1
101,Hasaki,75,JP,1567310629,58,35.73,30.0,3.1
102,Mayong,56,CN,1567310862,69,24.79,24.07,1.5
103,Sokolo,0,ML,1567310863,63,14.74,27.37,3.2
104,Qaqortoq,100,GL,1567310863,61,60.72,9.0,7.7
105,Asosa,1,ET,1567310863,91,10.07,16.87,1.85
106,Butaritari,100,KI,1567310864,72,3.07,29.27,4.87
107,Oakham,0,GB,1567310864,87,52.67,11.11,4.1
108,Alice Springs,0,AU,1567310847,7,-23.7,30.0,5.7
109,Partizanskoye,100,RU,1567310865,73,53.35,11.67,5.57
110,Meulaboh,98,ID,1567310865,75,4.14,27.27,2.98
111,Magomeni,20,TZ,1567310866,100,-6.8,22.0,0.14
112,Miyazu,75,JP,1567310866,78,35.58,25.0,1.0
113,Katsuura,75,JP,1567310866,74,33.93,27.78,4.1
114,Torbay,5,CA,1567310814,82,47.66,16.11,7.2
115,Cidreira,0,BR,1567310867,87,-30.17,12.77,3.38
116,Emilio Carranza,0,MX,1567310867,87,19.97,22.67,1.39
117,Pag,0,HR,1567310867,82,44.45,18.0,1.5
118,Coihaique,0,CL,1567310868,98,-45.58,0.0,0.97
119,San Pedro,8,AR,1567310868,57,-33.68,7.22,0.89
120,Ponta do Sol,15,BR,1567310868,44,-20.63,22.07,1.57
121,Artesia,1,US,1567310869,33,32.84,31.0,4.1
122,Lashio,29,MM,1567310869,58,22.93,29.87,0.75
123,Balta,98,UA,1567310869,34,47.94,21.07,1.14
124,Brandon,90,US,1567310870,77,43.59,16.11,2.6
125,Barrow,60,AR,1567310870,63,-38.31,6.57,6.14
126,Lebu,0,ET,1567310870,87,8.96,11.67,1.04
127,Ostrovnoy,100,RU,1567310871,94,68.05,11.17,1.72
128,Otane,0,NZ,1567310871,67,-39.89,15.0,4.47
129,Aripuana,0,BR,1567310871,44,-9.17,26.37,0.9
130,Fortuna,0,ES,1567310872,83,38.18,23.33,1.5
131,Hokitika,46,NZ,1567310872,71,-42.72,11.17,3.96
132,Pevek,100,RU,1567310872,82,69.7,2.37,3.86
133,Washougal,75,US,1567310873,60,45.58,25.0,5.7
134,Mazatlan,75,MX,1567310715,89,23.22,30.56,1.5
135,Luderitz,0,NA,1567310874,63,-26.65,12.0,3.1
136,Concepcion,100,CO,1567310874,93,9.56,25.37,3.25
137,Lixourion,20,GR,1567310875,73,38.2,23.33,1.0
138,Saint-Augustin,5,CA,1567310875,87,45.63,16.0,1.5
139,Kodiak,90,US,1567310875,88,39.95,19.44,3.1
140,Bonfim,100,GY,1567310876,74,3.36,26.77,1.47
141,Vao,85,EE,1567310876,88,59.1,12.47,2.21
142,Lukovetskiy,90,RU,1567310876,100,64.29,11.0,1.0
143,Emmaus,1,US,1567310877,72,40.54,20.0,2.97
144,Usakos,0,NA,1567310877,18,-22.0,10.97,7.32
145,Nikolskoye,77,RU,1567310877,93,59.7,11.0,1.35
146,Tuatapere,49,NZ,1567310878,75,-46.13,12.78,6.26
147,Dingle,84,PH,1567310878,76,11.0,28.77,2.39
148,Aden,59,YE,1567310878,68,12.79,30.77,2.97
149,Baghdad,0,IQ,1567310879,44,33.3,26.0,2.1
150,Mgandu,100,TZ,1567310879,83,-5.96,14.57,2.54
151,Dovers,100,VC,1567310879,75,12.88,28.37,5.8
152,Bethel,90,US,1567310803,62,60.79,16.0,6.7
153,Karratha,5,AU,1567310880,17,-20.74,31.27,4.43
154,Hamilton,75,CA,1567310731,72,43.26,18.0,1.0
155,Arraial do Cabo,0,BR,1567310880,78,-22.97,21.97,4.84
156,Kabo,100,CF,1567310881,97,7.69,21.17,1.32
157,Tyumentsevo,2,RU,1567310881,54,53.32,14.17,6.92
158,Sananduva,98,BR,1567310882,94,-27.95,12.77,2.53
159,Sao Joao da Barra,0,BR,1567310882,83,-21.64,20.97,1.35
160,Mar del Plata,0,AR,1567310882,53,-46.43,3.47,2.78
161,Faya,0,SA,1567310883,25,18.39,18.0,1.14
162,Sanok,0,PL,1567310883,100,49.56,15.0,2.6
163,Necochea,36,AR,1567310884,63,-38.55,6.17,4.03
164,Red Wing,75,US,1567310860,67,44.56,18.89,2.71
165,Seoul,20,KR,1567310754,57,37.57,28.0,0.5
166,Mogadishu,88,SO,1567310885,76,2.04,24.77,6.21
167,Port Lincoln,0,AU,1567310885,71,-34.72,13.67,4.25
168,Mount Pleasant,1,US,1567310885,83,33.16,25.56,1.32
169,Dalvik,7,SE,1567310886,93,57.79,18.33,2.6
170,San Vicente,20,EC,1567310886,88,-0.59,20.0,2.6
171,Beihai,20,CN,1567310887,39,38.95,29.0,5.0
172,Karla,29,EE,1567310887,93,59.37,11.67,2.1
173,Airai,69,TL,1567310888,37,-8.93,29.87,2.34
174,Borogontsy,3,RU,1567310888,43,62.67,18.87,2.08
175,Suntar,27,RU,1567310889,54,62.16,20.17,0.34
176,Bom Jesus,30,BR,1567310889,49,-9.08,21.57,0.81
177,Puerto Escondido,40,MX,1567310889,83,15.86,29.0,3.1
178,Cockburn Town,100,TC,1567310889,80,21.46,28.47,6.03
179,Galle,100,GN,1567310890,97,10.08,20.27,1.09
180,Deputatskiy,0,RU,1567310890,38,69.3,10.77,4.49
181,Kloulklubed,75,PW,1567310890,74,7.04,30.0,4.1
182,Shamkhal,0,RU,1567310891,72,43.06,18.0,3.0
183,Saskylakh,100,RU,1567310891,57,71.97,9.57,0.92
184,Axim,100,GH,1567310891,91,4.87,23.97,5.25
185,San Fernando,20,TT,1567310892,83,10.28,27.0,5.04
186,Kamina,44,CD,1567310892,80,-8.74,18.57,1.13
187,Palmerston,0,AU,1567310893,45,-12.49,29.0,5.7
188,La Ronge,40,CA,1567310893,93,55.1,10.0,2.1
189,Saldanha,0,PT,1567310894,62,41.42,19.07,1.41
190,Mumbwa,43,ZM,1567310894,29,-14.99,19.47,1.87
191,Rudsar,90,IR,1567310894,100,37.14,20.0,2.1
192,Yizheng,84,CN,1567310895,83,24.67,22.78,1.5
193,Yumen,100,CN,1567310895,16,40.29,27.17,12.35
194,Longyearbyen,75,NO,1567310895,93,78.22,5.0,1.5
195,Cedar City,1,US,1567310896,15,37.68,24.0,2.6
196,Nanortalik,100,GL,1567310896,78,60.14,6.67,4.5
197,Westport,1,US,1567310896,87,41.14,21.11,1.5
198,Grand Gaube,40,MU,1567310897,73,-20.01,23.33,7.7
199,Angicos,0,BR,1567310897,74,-5.67,23.17,2.58
200,Kangaatsiaq,0,GL,1567310897,66,68.31,6.87,4.17
201,Cherskiy,87,RU,1567310898,67,68.75,3.37,1.55
202,Vestmanna,100,FO,1567310898,75,62.16,8.0,9.8
203,Kulhudhuffushi,100,MV,1567310898,78,6.62,27.57,6.74
204,Tiarei,75,PF,1567310899,69,-17.53,24.0,7.7
205,Labuhan,19,ID,1567310899,41,-2.54,33.47,0.91
206,Osa,17,RU,1567310899,83,57.28,4.47,2.98
207,Picos,0,BR,1567310900,58,-7.08,21.37,0.78
208,Cazzago San Martino,0,IT,1567310900,77,45.58,22.22,2.1
209,Belmonte,0,PT,1567310900,66,40.36,18.89,0.58
210,Bar-le-Duc,90,FR,1567310901,63,48.77,17.0,0.5
211,Husavik,100,CA,1567310901,82,50.56,16.67,2.09
212,Piedra Gorda,23,EC,1567310901,87,-0.75,18.77,1.59
213,Ahipara,100,NZ,1567310902,81,-35.17,16.11,2.13
214,Praya,75,ID,1567310902,61,-8.71,28.0,5.1
215,Norman Wells,20,CA,1567310902,66,65.28,10.0,4.1
216,Bauchi,68,NG,1567310903,89,10.31,20.97,1.86
217,Kahului,40,US,1567310703,74,20.89,29.0,8.7
218,San Jeronimo,52,PE,1567310903,95,-13.65,8.87,1.4
219,San Patricio,38,PY,1567310903,68,-26.98,13.67,4.28
220,Moussoro,100,TD,1567310609,68,13.64,25.67,3.56
221,Sambava,1,MG,1567310905,90,-14.27,16.97,1.69
222,Hobyo,37,SO,1567310905,84,5.35,24.17,9.22
223,Bela,0,PK,1567310905,56,26.23,28.87,0.71
224,Manokwari,97,ID,1567310906,60,-0.87,27.67,1.47
225,Saint George,0,GR,1567310906,63,39.45,18.0,0.46
226,Abbeville,90,FR,1567310906,82,50.11,15.0,1.5
227,Victoria,75,BN,1567310907,70,5.28,34.0,2.1
228,Bridlington,0,GB,1567310907,93,54.08,10.0,0.5
229,Sergeyevka,97,KZ,1567310908,87,53.88,8.57,4.54
230,Duku,59,ID,1567310908,82,-1.19,26.67,5.96
231,Anloga,79,GH,1567310837,89,5.79,24.07,5.81
232,Turukhansk,52,RU,1567310909,71,65.8,15.17,2.46
233,Sobolevo,0,RU,1567310909,95,54.43,11.17,2.15
234,Tasiilaq,0,GL,1567310909,69,65.61,3.0,1.0
235,Luau,47,CD,1567310910,75,-10.7,19.87,1.23
236,Pimentel,8,BR,1567310910,82,-3.7,23.67,1.28
237,Pangai,75,TO,1567310910,64,-19.8,24.0,7.2
238,Ribeira Brava,40,PT,1567310911,60,32.65,22.0,4.6
239,Jiangkou,100,CN,1567310911,85,30.7,22.17,4.19
240,Bang Saphan,75,TH,1567310911,88,11.21,27.0,3.1
241,Wasilla,90,US,1567310912,55,61.58,17.0,2.1
242,Nibbar,6,TN,1567310912,84,36.29,20.27,1.84
243,Awbari,0,LY,1567310912,24,26.59,26.27,1.1
244,Lompoc,90,US,1567310913,93,34.64,20.56,2.1
245,Touros,75,BR,1567310913,94,-5.2,23.0,2.1
246,Utica,1,US,1567310913,93,43.1,12.22,0.43
247,Kavaratti,90,IN,1567310914,83,10.57,27.0,7.48
248,Sitka,0,US,1567310914,91,37.17,19.44,4.92
249,Abha,0,SA,1567310914,25,18.22,18.0,0.63
250,Laguna,0,BZ,1567310915,94,16.17,26.0,0.89
251,Mae Sai,75,MM,1567310915,83,20.44,26.0,3.6
252,Ponoka,75,CA,1567310916,93,52.68,11.67,1.5
253,Grindavik,40,IS,1567310916,87,63.84,6.0,4.1
254,Formosa,44,BR,1567310916,42,-15.55,19.67,1.69
255,Nouadhibou,91,MR,1567310917,89,20.93,21.07,5.13
256,Isangel,90,VU,1567310917,74,-19.55,27.0,2.6
257,Astoria,90,US,1567310674,88,46.19,20.0,2.1
258,Ilulissat,20,GL,1567310918,45,69.22,6.0,6.2
259,Dryden,90,CA,1567310918,93,49.79,12.0,2.61
260,Esperance,75,AU,1567310918,49,-33.86,21.0,9.8
261,Bambanglipuro,50,ID,1567310919,84,-7.95,23.27,9.23
262,Ribeira Grande,0,PT,1567310919,87,38.52,23.07,1.12
263,Matagami,100,NG,1567310919,98,9.67,20.17,1.99
264,Mmabatho,0,ZA,1567310920,38,-25.85,4.0,3.1
265,Zasechnoye,77,RU,1567310920,53,53.11,11.11,1.54
266,Loreto,36,PY,1567310921,69,-23.27,18.17,3.54
267,Kjollefjord,99,NO,1567310921,82,70.95,11.27,2.59
268,San Quintin,100,PH,1567310922,69,17.54,29.27,1.59
269,Mount Isa,0,AU,1567310922,12,-20.73,29.0,4.1
270,Ocampo,43,MX,1567310735,70,27.32,21.17,6.13
271,Bathsheba,40,BB,1567310689,78,13.22,28.0,4.6
272,Okha,98,RU,1567310923,86,53.59,13.57,5.73
273,Rudnichnyy,100,RU,1567310923,85,59.7,5.57,2.88
274,Verkhoyansk,0,RU,1567310924,34,67.55,16.07,3.21
275,Gort,20,IE,1567310924,87,53.07,10.0,2.6
276,Blackwater,100,GB,1567310924,93,51.33,12.78,1.5
277,Bela Palanka,0,RS,1567310925,77,43.22,16.11,0.5
278,Caravelas,0,BR,1567310925,89,-17.73,21.27,3.78
279,Sao Filipe,58,CV,1567310925,86,14.9,25.97,5.75
280,Paita,0,PE,1567310926,93,-5.09,16.67,6.15
281,Novorudnyy,90,RU,1567310926,81,51.5,6.0,4.0
282,Leningradskiy,100,RU,1567310926,96,69.38,3.27,5.63
283,Klaksvik,100,FO,1567310927,75,62.23,8.0,9.8
284,Berlevag,97,NO,1567310927,80,70.86,11.57,3.3
285,Ternate,40,PH,1567310927,66,14.29,31.0,2.1
286,Padang,59,ID,1567310928,82,-0.92,26.67,5.96
287,Kalmunai,100,LK,1567310928,51,7.42,30.37,0.69
288,Kavieng,46,PG,1567310928,77,-2.57,28.47,4.98
289,Kyren,0,RU,1567310929,38,51.68,19.37,3.72
290,Ancud,40,CL,1567310929,86,-41.87,4.0,0.5
291,Yerbogachen,100,RU,1567310932,61,61.28,17.37,2.29
292,Zhangjiakou,23,CN,1567310933,42,40.77,20.27,2.2
293,Petropavlovka,0,RU,1567310933,51,50.61,21.17,3.01
294,Faanui,100,PF,1567310933,78,-16.48,24.17,7.67
295,San Cristobal,62,HN,1567310934,76,14.68,21.57,2.09
296,Dunedin,0,NZ,1567310637,61,-45.87,12.22,5.81
297,Umm Lajj,86,SA,1567310934,75,25.02,29.47,5.1
298,Oksfjord,100,NO,1567310935,93,70.24,12.0,4.6
299,Te Anau,70,NZ,1567310935,77,-45.41,8.47,3.73
300,Lotofaga,27,WS,1567310935,88,-13.98,25.0,1.34
301,Gaziantep,0,TR,1567310936,40,37.06,22.0,2.31
302,Palm Coast,1,US,1567310936,88,29.55,28.33,2.6
303,Sioux Lookout,90,CA,1567310936,93,50.1,12.0,2.95
304,Thyolo,6,MW,1567310936,34,-16.07,19.87,2.64
305,Itacoatiara,5,BR,1567310735,66,-3.14,26.37,1.25
306,Lovozero,100,RU,1567310937,92,68.01,10.47,1.36
307,Pisco,0,PE,1567310938,87,-13.71,16.0,4.6
308,Marshall,90,US,1567310938,88,39.12,20.0,2.1
309,Udachnyy,0,RU,1567310939,67,66.42,14.0,2.0
310,Pangnirtung,100,CA,1567310939,77,66.15,7.77,2.18
311,Nelson Bay,75,AU,1567310939,68,-32.72,20.56,4.1
312,Luangwa,0,MZ,1567310940,34,-15.62,19.07,1.44
313,Acari,0,BR,1567310940,71,-6.44,22.77,7.18
314,Dumas,75,IN,1567310940,88,21.09,28.0,2.1
315,Kemin,100,KG,1567310941,39,42.79,13.27,1.46
316,Inirida,100,CO,1567310941,93,3.87,23.17,0.96
317,Inverell,0,AU,1567310942,30,-29.78,23.89,1.34
318,Revda,100,RU,1567310942,93,67.94,11.07,1.16
319,Nemuro,75,JP,1567310942,78,43.32,22.0,4.6
320,Talara,0,PE,1567310943,92,-4.58,16.97,6.9
321,Half Moon Bay,1,US,1567310943,82,37.46,23.0,3.1
322,Bo Phloi,100,TH,1567310943,87,14.32,24.77,1.36
323,Fairview,20,CA,1567310944,76,56.07,12.0,3.1
324,Madang,0,CN,1567310944,65,35.32,10.47,1.5
325,Juneau,40,US,1567310926,71,58.3,17.22,1.5
326,Fukue,75,JP,1567310945,69,35.03,28.0,1.0
327,Longyan,41,CN,1567310945,67,25.1,28.37,1.15
328,San Carlos de Bariloche,0,AR,1567310946,79,-41.13,-3.0,1.5
329,Ulaanbaatar,20,MN,1567310684,33,47.92,23.0,1.0
330,Lasa,0,CY,1567310946,73,34.92,25.0,3.1
331,Bonavista,0,CA,1567310947,83,48.65,15.56,4.02
332,Ponta Delgada,20,PT,1567310669,94,37.73,21.67,1.5
333,Taltal,10,CL,1567310947,88,-25.41,8.87,1.29
334,Samarai,79,PG,1567310948,69,-10.62,25.57,5.5
335,Tsukumi,75,JP,1567310948,88,33.08,24.0,3.1
336,Chibombo,0,ZM,1567310949,31,-14.68,16.87,1.0
337,Poum,42,MK,1567310949,62,41.28,13.97,1.24
338,Namatanai,89,PG,1567310949,79,-3.66,26.97,6.36
339,Xuddur,0,SO,1567310949,81,4.12,21.57,8.54
340,Serebryansk,67,KZ,1567310950,50,49.68,15.37,1.13
341,Chinsali,0,ZM,1567310950,53,-10.55,12.77,1.3
342,Walvis Bay,0,NA,1567310951,90,-22.95,10.56,0.89
343,Chicama,90,PE,1567310951,93,-7.84,16.0,3.6
344,Lagoa,0,PT,1567310952,64,37.14,24.0,2.6
345,Borba,48,BR,1567310952,68,-4.39,25.77,1.55
346,Aromashevo,100,RU,1567310952,93,56.86,7.07,5.86
347,Sovetskiy,100,RU,1567310953,89,56.76,7.07,2.1
348,Waipawa,0,NZ,1567310953,67,-39.94,15.0,4.47
349,Mercedes,0,UY,1567310844,63,-33.25,8.89,1.34
350,Auki,100,NG,1567310954,78,12.18,24.37,4.9
351,Saint-Pierre,90,FR,1567310954,63,48.95,17.0,0.5
352,Portland,1,US,1567310929,67,43.66,16.11,1.5
353,Meadow Lake,73,CA,1567310954,70,54.13,11.77,1.76
354,Port Macquarie,40,AU,1567310955,63,-31.43,23.33,4.6
355,Hengyang,100,CN,1567310955,54,26.89,23.97,3.03
356,Kanlagay,98,PH,1567310955,73,5.88,28.07,1.05
357,Ambon,0,FR,1567310956,87,47.55,15.0,2.1
358,Santo Amaro da Imperatriz,75,BR,1567310956,82,-27.69,17.0,4.6
359,Puerto Narino,0,CO,1567310956,94,-3.77,25.0,0.1
360,Shimoda,40,JP,1567310957,74,34.7,31.0,5.7
361,Jardim,19,BR,1567310957,74,-21.48,21.47,3.69
362,Palmer,20,AU,1567310958,72,-34.85,17.78,4.6
363,Vavuniya,100,LK,1567310958,63,8.76,28.87,4.8
364,Dire Dawa,33,ET,1567310958,64,9.59,20.07,3.91
365,San Angelo,1,US,1567310690,48,31.46,29.44,2.6
366,Am Timan,65,TD,1567310959,96,11.04,22.27,2.29
367,Kodinsk,99,RU,1567310959,92,58.6,16.67,0.98
368,Townsville,0,AU,1567310960,47,-19.26,26.11,7.7
369,Lagunas,0,PE,1567310960,68,-5.23,25.07,0.74
370,Bandarbeyla,99,SO,1567310961,70,9.49,24.57,11.14
371,Sistranda,0,NO,1567310961,63,63.73,18.33,10.8
372,Belen,1,US,1567310961,29,34.66,28.33,5.1
373,Kieta,100,PG,1567310962,85,-6.22,27.37,7.89
374,Lavrentiya,93,RU,1567310962,78,65.58,11.07,2.5
375,Turinskaya Sloboda,100,RU,1567310962,92,57.62,7.07,4.29
376,Wukari,100,NG,1567310963,96,7.87,22.67,1.79
377,Iquique,90,CL,1567310963,72,-20.22,17.0,4.1
378,Thunder Bay,75,CA,1567310963,82,48.41,14.0,2.1
379,Mackay,20,CA,1567310964,87,53.65,12.0,1.5
380,Chimore,98,BO,1567310964,54,-16.98,24.17,1.59
381,Hambantota,40,LK,1567310964,100,6.12,27.0,3.1
382,Curico,100,CL,1567310924,66,-34.98,10.0,2.1
383,Khandyga,0,RU,1567310965,35,62.65,19.57,1.29
384,Narsaq,100,GL,1567310965,61,60.91,9.0,7.7
385,Yar-Sale,100,RU,1567310966,91,66.83,8.47,8.01
386,Kanchanaburi,100,TH,1567310966,84,14.03,25.77,1.12
387,Sale,85,AU,1567310772,56,-38.11,18.89,1.34
388,Vanimo,77,PG,1567310967,77,-2.67,27.27,3.49
389,Bolkhov,3,RU,1567310967,91,53.44,11.37,1.01
390,Baoro,100,CF,1567310967,97,5.69,19.87,1.82
391,Canatlan,90,MX,1567310968,82,24.52,18.33,1.0
392,Petauke,0,ZM,1567310968,29,-14.25,19.47,2.06
393,Conde,2,BR,1567310968,97,-11.81,18.67,0.81
394,Matane,40,CA,1567310751,62,48.83,12.0,4.1
395,Atocha,0,AR,1567310969,43,-24.82,14.0,1.5
396,Nabire,35,ID,1567310969,62,-3.36,27.37,2.96
397,Vila,0,IT,1567310970,100,45.18,21.67,2.6
398,Boa Vista,0,BR,1567310970,88,2.82,27.0,1.5
399,Henties Bay,0,NA,1567310970,90,-22.12,10.56,0.89
400,Chilca,60,PE,1567310971,75,-13.22,7.0,2.1
401,Arrifes,20,PT,1567310971,94,37.77,21.67,1.5
402,Adre,89,TD,1567310972,76,13.47,23.27,3.33
403,Kasamwa,99,TZ,1567310972,78,-2.84,19.87,1.77
404,Mochudi,0,BW,1567310972,122,-24.38,9.0,3.1
405,Zhezkazgan,75,KZ,1567310714,43,47.8,13.0,4.0
406,Quelimane,0,MZ,1567310973,94,-17.88,22.0,3.6
407,Mahibadhoo,100,MV,1567310973,72,3.78,28.17,4.0
408,Yeppoon,0,AU,1567310974,31,-23.13,26.0,2.6
409,Talas,100,KG,1567310974,97,42.52,13.33,1.09
410,Oriximina,81,BR,1567310974,64,-1.77,28.27,1.44
411,Quepos,40,CR,1567310975,94,9.43,21.11,1.0
412,Nanakuli,1,US,1567310975,69,21.39,31.0,6.2
413,Maribo,76,DK,1567310975,85,54.78,21.11,3.46
414,Chaves,68,BR,1567310976,80,-0.16,26.17,4.33
415,Shimorskoye,38,RU,1567310976,96,55.33,11.77,2.52
416,Vila Franca do Campo,20,PT,1567310976,94,37.72,21.67,1.5
417,Siguiri,100,GN,1567310977,97,11.42,21.77,2.48
418,Utinga,75,BR,1567310977,94,-5.82,23.0,2.1
419,Namibe,85,AO,1567310977,84,-15.19,18.17,1.3
420,Sudbury,5,CA,1567310856,87,46.49,12.0,2.6
421,Gayny,100,RU,1567310978,79,60.3,5.97,2.78
422,Troitsko-Pechorsk,100,RU,1567310978,86,62.71,6.27,3.58
423,Liverpool,40,GB,1567310979,87,53.41,13.0,4.1
424,Semey,0,KZ,1567310979,48,50.41,16.0,4.0
425,Alofi,87,NU,1567310979,57,-19.06,24.0,7.2
426,Port-Cartier,20,CA,1567310980,65,50.03,12.22,3.1
